OSEBuildingID,PrimaryPropertyType,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),OtherFuelUse(kBtu),GHGEmissions(MetricTonsCO2e),Outlier,Electricity(%),NaturalGas(%),SteamUse(%),OtherFuelUse(%),Adult EducationGFA,Automobile DealershipGFA,Bank BranchGFA,Bar/NightclubGFA,College/UniversityGFA,Convenience Store without Gas StationGFA,Convention CenterGFA,CourthouseGFA,Data CenterGFA,Distribution CenterGFA,Enclosed MallGFA,Fast Food RestaurantGFA,Financial OfficeGFA,Fitness Center/Health Club/GymGFA,Food SalesGFA,Food ServiceGFA,Hospital (General Medical & Surgical)GFA,HotelGFA,K-12 SchoolGFA,LaboratoryGFA,LibraryGFA,Lifestyle CenterGFA,Manufacturing/Industrial PlantGFA,Medical OfficeGFA,Movie TheaterGFA,Multifamily HousingGFA,MuseumGFA,Non-Refrigerated WarehouseGFA,OfficeGFA,OtherGFA,Other - EducationGFA,Other - Entertainment/Public AssemblyGFA,Other - Lodging/ResidentialGFA,Other - MallGFA,Other - Public ServicesGFA,Other - RecreationGFA,Other - Restaurant/BarGFA,Other - ServicesGFA,Other - Technology/ScienceGFA,Other - UtilityGFA,Other/Specialty HospitalGFA,Outpatient Rehabilitation/Physical TherapyGFA,ParkingGFA,Performing ArtsGFA,"Personal Services (Health/Beauty, Dry Cleaning, etc)GFA",Police StationGFA,Pre-school/DaycareGFA,Prison/IncarcerationGFA,Refrigerated WarehouseGFA,"Repair Services (Vehicle, Shoe, Locksmith, etc)GFA",Residence Hall/DormitoryGFA,Residential Care FacilityGFA,RestaurantGFA,Retail StoreGFA,Self-Storage FacilityGFA,Senior Care CommunityGFA,Social/Meeting HallGFA,Strip MallGFA,Supermarket/Grocery StoreGFA,Swimming PoolGFA,Urgent Care/Clinic/Other OutpatientGFA,Vocational SchoolGFA,Wholesale Club/SupercenterGFA,Worship FacilityGFA,Campus,Multifamily HR (10+),Multifamily LR (1-4),Multifamily MR (5-9),NonResidential,Nonresidential COS,SPS-District K-12,MainEnergySource_Electricity(%),MainEnergySource_NaturalGas(%),MainEnergySource_SteamUse(%),building_age
50,K-12 School,1.0,2.0,54986,0.0,54986.0,K-12 School,54986.0,46.0,1842702.0,0.0,1281965.0,373700.0,0.0,28.78,0,77.43148757075933,22.571713662379832,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,54986,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25
52,Small- and Mid-Sized Office,1.0,2.0,94900,0.0,94900.0,Office,55586.0,99.0,6605535.0,0.0,4289697.0,1754334.0,0.0,123.08,0,70.97619680690447,29.026748334216602,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,39314,55586.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,54
53,Small- and Mid-Sized Office,1.0,2.0,52554,0.0,52554.0,Office,51029.0,99.0,2192109.0,0.0,1226016.0,911721.0,0.0,56.97,0,57.352483012004576,42.64990274530497,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,51029.0,0,7849,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,115
54,K-12 School,1.0,3.0,175015,0.0,175015.0,K-12 School,175015.0,83.0,8596269.0,0.0,2694187.0,4386042.0,0.0,251.72,0,38.05285448632353,61.94871328415713,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,175015,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,61
55,"Self-Storage Facility
",1.0,3.0,70586,0.0,70586.0,Self-Storage Facility,38439.0,84.0,2377595.0,0.0,1607511.0,539617.0,0.0,39.87,0,74.87026457549898,25.132809392555966,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,3859.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,38439,0,0,0,0,0,0,28197,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,104
57,Large Office,1.0,5.0,168115,0.0,168115.0,Office,103501.0,77.0,9213841.0,0.0,9214222.0,0.0,0.0,64.23,0,100.0041350832948,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,103501.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,65676.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,42
59,Small- and Mid-Sized Office,1.0,8.0,59400,0.0,59400.0,Office,34947.0,65.0,4369220.0,0.0,3916108.0,0.0,0.0,27.3,0,100.00411139374461,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,34947.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,4993.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,105
60,Mixed Use Property,1.0,2.0,52549,0.0,52549.0,Other - Entertainment/Public Assembly,23500.0,1.0,16598244.0,0.0,5294026.0,10290141.0,0.0,583.41,0,33.97102159035833,66.0303901187549,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,5459.0,0,0,23500,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,23500,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,89
61,Low-Rise Multifamily,1.0,4.0,48383,0.0,48383.0,Multifamily Housing,38172.0,68.0,3379678.0,915977.0,1448859.0,588563.0,0.0,112.06,0,49.05835363239832,19.928738261587398,31.014973565504523,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,38172,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,10211.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,115
62,Hotel,1.0,20.0,98634,10043.0,88591.0,Hotel,83591.0,48.0,6534220.0,0.0,5422999.0,753040.0,0.0,77.8,0,87.81029927724484,12.193376352777578,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,83591,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,10043.0,0,0,0,0,0,0,0,0,0,5000,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,85
