OSEBuildingID,PrimaryPropertyType,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),OtherFuelUse(kBtu),GHGEmissions(MetricTonsCO2e),Outlier,Electricity(%),NaturalGas(%),SteamUse(%),OtherFuelUse(%),Adult EducationGFA,Automobile DealershipGFA,Bank BranchGFA,Bar/NightclubGFA,College/UniversityGFA,Convenience Store without Gas StationGFA,Convention CenterGFA,CourthouseGFA,Data CenterGFA,Distribution CenterGFA,Enclosed MallGFA,Fast Food RestaurantGFA,Financial OfficeGFA,Fitness Center/Health Club/GymGFA,Food SalesGFA,Food ServiceGFA,Hospital (General Medical & Surgical)GFA,HotelGFA,K-12 SchoolGFA,LaboratoryGFA,LibraryGFA,Lifestyle CenterGFA,Manufacturing/Industrial PlantGFA,Medical OfficeGFA,Movie TheaterGFA,Multifamily HousingGFA,MuseumGFA,Non-Refrigerated WarehouseGFA,OfficeGFA,OtherGFA,Other - EducationGFA,Other - Entertainment/Public AssemblyGFA,Other - Lodging/ResidentialGFA,Other - MallGFA,Other - Public ServicesGFA,Other - RecreationGFA,Other - Restaurant/BarGFA,Other - ServicesGFA,Other - Technology/ScienceGFA,Other - UtilityGFA,Other/Specialty HospitalGFA,Outpatient Rehabilitation/Physical TherapyGFA,ParkingGFA,Performing ArtsGFA,"Personal Services (Health/Beauty, Dry Cleaning, etc)GFA",Police StationGFA,Pre-school/DaycareGFA,Prison/IncarcerationGFA,Refrigerated WarehouseGFA,"Repair Services (Vehicle, Shoe, Locksmith, etc)GFA",Residence Hall/DormitoryGFA,Residential Care FacilityGFA,RestaurantGFA,Retail StoreGFA,Self-Storage FacilityGFA,Senior Care CommunityGFA,Social/Meeting HallGFA,Strip MallGFA,Supermarket/Grocery StoreGFA,Swimming PoolGFA,Urgent Care/Clinic/Other OutpatientGFA,Vocational SchoolGFA,Wholesale Club/SupercenterGFA,Worship FacilityGFA,Campus,Multifamily HR (10+),Multifamily LR (1-4),Multifamily MR (5-9),NonResidential,Nonresidential COS,SPS-District K-12,MainEnergySource_Electricity(%),MainEnergySource_NaturalGas(%),MainEnergySource_SteamUse(%),building_age
49697,Mixed Use Property,1.0,6.0,74211,0.0,74211.0,Office,33279.0,97.0,1527750.0,0.0,1391627.0,0.0,0.0,9.7,0,100.00416795717639,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,29878,0,0,33279.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8421.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,113
49698,Mid-Rise Multifamily,1.0,6.0,174654,45435.0,129219.0,Multifamily Housing,124279.0,69.0,3946788.0,0.0,3553292.0,236126.0,0.0,37.31,0,93.77246804793535,6.231437717555097,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,124279,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,49395.0,0,2620,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3
49704,Mid-Rise Multifamily,1.0,6.0,177528,48907.0,128621.0,Multifamily Housing,128621.0,100.0,4386690.0,0.0,2638504.0,1470963.0,0.0,96.52,0,64.2072070625144,35.79544541994151,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,128621,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,48907.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3
49706,Mid-Rise Multifamily,1.0,6.0,153767,49103.0,104664.0,Multifamily Housing,153767.0,99.0,4586289.0,0.0,2779993.0,1400420.0,0.0,93.76,0,66.50226849856159,33.50048250148674,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,153767,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,40584.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
49707,Mid-Rise Multifamily,1.0,6.0,43762,11512.0,32250.0,Multifamily Housing,27849.0,97.0,673880.0,0.0,653699.0,0.0,0.0,4.56,0,100.00413051193871,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,27849,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,11512.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3
49712,Large Office,1.0,6.0,157345,45083.0,112262.0,Office,157345.0,91.0,7559566.0,0.0,7069944.0,135486.0,0.0,56.48,0,98.12368539937142,1.880408902817227,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,157345.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3
49717,Low-Rise Multifamily,1.0,4.0,43210,8621.0,34589.0,Multifamily Housing,43210.0,62.0,1887811.0,0.0,1115148.0,616854.0,0.0,40.53,0,64.38666131625823,35.6160523801138,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,43210,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8050.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3
49719,Low-Rise Multifamily,1.0,4.0,74964,0.0,74964.0,Multifamily Housing,74964.0,99.0,1983509.0,0.0,864448.0,1119097.0,0.0,65.46,0,43.58175334722454,56.42006161807181,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,74964,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3
49721,Low-Rise Multifamily,2.0,3.0,21753,10642.0,11111.0,Multifamily Housing,21753.0,41.0,937637.0,0.0,649395.0,163054.0,0.0,13.19,0,79.93321204989525,20.070111346073837,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,21753,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3
49730,Mid-Rise Multifamily,1.0,7.0,334785,75681.0,259104.0,Multifamily Housing,256573.0,95.0,10520343.0,0.0,5163406.0,4570823.0,0.0,278.75,0,53.04498226528131,46.957226484367084,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2532,0,0,0,0,0,0,0,0.0,0,256573,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,75681.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3
